catégorie	lemme	relation	catégorie	lemme	compte	IM
VERB	prendre	obj	NOUN	temps	2	5.064985996201911
NOUN	jeunesse	nmod	NOUN	printemps	1	12.31525008098415
VERB	prendre	de	VERB	consacrer	1	9.268956428710215
VERB	désavouer	par	NOUN	tribunal	1	12.823861695575191
NOUN	défenseure	nmod	NOUN	loi	1	10.578284486817944
NOUN	contrôle	nmod	NOUN	milliard	1	9.156987997067418
VERB	exister	obj	NOUN	introduction	1	12.379380418403866
VERB	commencer	obj	NOUN	période	1	10.723334819621227
VERB	exister	nsubj	NOUN	fiction	1	10.368492102261131
VERB	commencer	à	NOUN	fin	2	6.371546144414918
VERB	durer	au	NOUN	milieu	1	12.997509783060222
VERB	ressurgir	obj	NOUN	phénomène	1	12.493037200199433
NOUN	pétainisme	nmod	NOUN	période	1	12.723334819621227
VERB	ressurgir	jusqu’	VERB	ressurgir	1	17.101846442874958
NOUN	janvier	nmod	NOUN	janvier	556	8.762701365954376
VERB	mettre	obj	NOUN	feu	5	6.86239111627034
VERB	mettre	obj	NOUN	ombre	1	6.872306585135422
VERB	mettre	obj	NOUN	soupçon	1	6.92293265820539
VERB	trouver	obj	NOUN	donateur	1	10.798065694697854
VERB	moquer	nsubj	NOUN	ultra-riche	1	16.42377453776232
VERB	obtenir	obj	NOUN	condamnation	1	9.79259748205834
VERB	rendre	obj	NOUN	jugement	2	10.34695894071149
VERB	obtenir	nsubj	NOUN	etat	1	8.339630527147175
VERB	rendre	nsubj	NOUN	tribunal	3	8.386456383267893
NOUN	tribunal	nmod	NOUN	deux	1	7.582996614167266
VERB	rendre	dans	NOUN	procès	1	8.683993927989059
VERB	condamner	à	NOUN	peine	5	8.608551372371377
VERB	recruter	obj	NOUN	agent	1	9.437932600758979
VERB	laisser	nsubj	NOUN	réputation	1	12.838812037041164
NOUN	marchand	nmod	NOUN	million	1	8.562687631766925
NOUN	marchand	nmod	NOUN	etat	1	9.718142150400904
NOUN	marchand	nmod	NOUN	compte	1	9.320486729350298
VERB	reprendre	obj	NOUN	lundi	1	3.3597475730966506
VERB	permettre	nsubj	NOUN	audience	1	7.429067542504219
NOUN	affaire	nmod	NOUN	contrôle	1	9.412547282339066
VERB	examiner	en	NOUN	moment	1	10.662223305317841
VERB	examiner	par	NOUN	cour	1	12.565793542634747
VERB	reprendre	pour	NOUN	semaine	1	9.291917577153527
VERB	coûter	obj	NOUN	vie	1	7.0618307640270785
NOUN	verzeille	nmod	NOUN	silence	1	14.565793542634747
VERB	coûter	à	NOUN	jeune	1	9.493037200199433
VERB	passer	à	NOUN	tabac	1	10.34695894071149
VERB	passer	par	NOUN	meute	1	15.33631169651198
VERB	dérouler	à	NOUN	verzeille	1	15.838812037041164
VERB	agripper	obj	NOUN	artiste	1	11.516883942153802
VERB	retrouver	nsubj	NOUN	manufacture	1	10.299653225933133
VERB	parvenir	nsubj	NOUN	café	1	11.751349195790825
VERB	parvenir	à	VERB	agripper	1	14.101846442874958
VERB	condamner	à	NOUN	mois	17	8.12032952648857
VERB	condamner	à	NOUN	surprise	1	7.04846354028925
NOUN	maire	nmod	NOUN	rn	1	9.873027752379077
VERB	blast	/	NOUN	dérive	1	14.253849536320008
VERB	présenter	au	NOUN	parquet	1	11.853918929431371
VERB	arriver	nsubj	NOUN	plainte	1	6.56559922718683
VERB	accuser	devant	NOUN	cour	1	11.565793542634747
VERB	arriver	devant	NOUN	cour	1	12.565793542634747
VERB	succéder	obj	NOUN	procès	1	11.590884523597579
VERB	succéder	nsubj	NOUN	mensonge	1	13.253849536320008
NOUN	affaire	nmod	NOUN	commissaire	1	12.616419615704716
VERB	blesser	en	NOUN	mars	1	10.435089850990154
VERB	blesser	par	NOUN	police	1	8.11657372862151
VERB	blesser	après	NOUN	dispersion	1	16.838812037041162
VERB	succéder	après	NOUN	année	1	9.98498268518406
VERB	succéder	à	NOUN	contre-vérité	1	16.616419615704714
VERB	laisse	nsubj	NOUN	interpellation	1	12.578284486817944
VERB	comparaître	nsubj	NOUN	fonctionnaire	1	12.457990253100233
VERB	laisse	dans	NOUN	cité	1	12.294491520817353
VERB	comparaître	devant	NOUN	assise	1	13.838812037041164
VERB	comparaître	depuis	NOUN	mardi	1	9.449359947956793
VERB	laisser	obj	NOUN	vide	1	10.900212581705308
VERB	laisser	nsubj	NOUN	décès	1	10.412547282339066
VERB	déchirer	nsubj	NOUN	héritier	1	13.03145711498356
VERB	déchirer	dans	NOUN	ville	1	9.888499161141517
VERB	déchirer	dans	NOUN	guerre	1	10.001709771589507
VERB	déchirer	de	NOUN	succession	1	13.997509783060222
NOUN	méthode	nmod	NOUN	menace	1	11.809064693647112
NOUN	septembre	nmod	NOUN	septembre	3	12.485175082426464
VERB	devoir	nsubj	NOUN	an	1	0.8924768510330119
VERB	devoir	nsubj	NOUN	revirement	1	9.237660298220677
NOUN	heure	nmod	NOUN	veille	1	9.968447317457759
VERB	expulser	en	NOUN	heure	1	10.55958839310804
VERB	retrouver	dans	NOUN	jour	1	4.876639005931455
